File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
SRR3670359_GSM2200653_ES_bulk_cells_3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	102860900	34847445	63825161	4188293	1	3814833	31032612	880296475	27952474	17867679	17593319	195360333	49572200	571950470
SRR3670359_GSM2200653_ES_bulk_cells_3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	101530105	27785670	70008781	3735652	2	2607886	25177784	688804135	21693973	14149353	13894059	152507454	39728168	446831128
SRR3670360_GSM2200654_ES_bulk_cells_4_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	90024785	31983907	54196975	3843901	2	3700218	28283689	807717742	25823567	17293067	15797714	180421713	44307887	524073794
SRR3670360_GSM2200654_ES_bulk_cells_4_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	89096396	25740697	59960976	3394719	4	2622478	23118219	639838042	20306319	13887234	12649707	142629915	35920067	414444800
SRR3670361_GSM2200655_ES_single_cell_4_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	22041921	3652844	16831004	1558073	0	1066931	2585913	72899800	1595913	2576154	1426248	16315177	4118981	46867327
SRR3670361_GSM2200655_ES_single_cell_4_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21868940	3059118	17236538	1573284	0	989045	2070073	57442932	1266968	2080943	1138377	12871216	3442108	36643320
SRR3670362_GSM2200656_ES_single_cell_5_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	23364260	2097002	20205055	1062203	0	562364	1534638	43313982	1584994	865073	831342	9635057	2412058	27985458
SRR3670362_GSM2200656_ES_single_cell_5_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	23177239	1793871	20294645	1088723	0	520239	1273632	35141545	1280607	735066	680089	7815292	2096464	22534027
SRR3670363_GSM2200657_ES_single_cell_6_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21809245	4897727	15444697	1466821	0	1437649	3460078	97301756	3449629	2073590	1878460	21999311	5339901	62560865
SRR3670363_GSM2200657_ES_single_cell_6_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21634816	4171323	15983014	1480479	0	1321665	2849658	78616601	2773100	1755429	1520184	17804826	4542069	50220993
SRR3670364_GSM2200658_ES_single_cell_7_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21125288	2695817	17191207	1238264	0	827268	1868549	53198092	1826292	1240809	1110607	11777288	3192321	34050775
SRR3670364_GSM2200658_ES_single_cell_7_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20952640	2284174	17400813	1267653	0	760284	1523890	42520198	1462717	1044148	896353	9471925	2707597	26937458
SRR3670365_GSM2200659_ES_single_cell_8_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20308498	4832991	13390284	2085223	0	1244371	3588620	100929416	3580059	1950678	1971889	22582256	5619646	65224888
SRR3670365_GSM2200659_ES_single_cell_8_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20146685	4126333	13880972	2139380	0	1163052	2963281	81946515	2897618	1658341	1614874	18403294	4807435	52564953
SRR3670366_GSM2200660_ES_single_cell_9_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16858934	1710256	14504797	643881	0	248619	1461637	40946556	1206189	1183076	837140	9328625	2360332	26031194
SRR3670366_GSM2200660_ES_single_cell_9_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16731595	1598861	14445600	687134	0	265391	1333470	36597825	1069754	1060472	748054	8285685	2205428	23228432
SRR3670367_GSM2200661_ES_single_cell_10_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18978463	4065008	13272779	1640676	0	1106977	2958031	83824711	3020673	1676540	1683186	18935026	4837350	53671936
SRR3670367_GSM2200661_ES_single_cell_10_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18829663	3487109	13713554	1629000	0	922999	2564110	70357619	2514332	1420761	1402498	15728298	4194223	45097507
SRR3670368_GSM2200662_ES_single_cell_11_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19144789	3650713	13590616	1903460	0	901002	2749711	78139290	2898997	1465485	1621499	17457157	4715711	49980441
SRR3670368_GSM2200662_ES_single_cell_11_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18986131	3316882	13718971	1950278	0	826965	2489917	68179313	2502380	1288860	1402249	15088726	4224982	43672116
SRR3670369_GSM2200663_ES_single_cell_12_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20538330	4072793	14737138	1728399	0	1118801	2953992	83803499	3092444	1678604	1652406	18923425	4964376	53492244
SRR3670369_GSM2200663_ES_single_cell_12_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20383406	3506060	15145737	1731609	0	927407	2578653	70685927	2589563	1430457	1390667	15827587	4309903	45137750
SRR3670370_GSM2200664_ES_single_cell_13_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18885399	3431020	13929290	1525089	0	866486	2564534	73938691	2567094	1733322	1488714	16746162	4275381	47128018
SRR3670370_GSM2200664_ES_single_cell_13_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18743837	2926189	14294060	1523588	0	706705	2219484	61763650	2128896	1454819	1240374	13860885	3686658	39392018
SRR3670371_GSM2200665_ES_single_cell_14_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19298020	3559689	13513162	2225169	0	1040294	2519395	72672832	2511477	1590912	1540153	16085842	4639688	46304760
SRR3670371_GSM2200665_ES_single_cell_14_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19147392	3039888	13884105	2223399	0	858129	2181759	60854840	2087531	1345301	1292139	13347657	4011817	38770395
SRR3670372_GSM2200666_ES_single_cell_15_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20783174	4146103	14815675	1821396	0	1236473	2909630	82691476	2995595	1498048	1564633	18570401	4519236	53543563
SRR3670372_GSM2200666_ES_single_cell_15_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20618761	3513298	15290651	1814812	0	1026014	2487284	68315763	2454972	1252064	1286378	15190315	3885941	44246093
SRR3670373_GSM2200667_ES_single_cell_16_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21754693	2488373	17382460	1883860	0	786631	1701742	48632464	1641759	988801	932815	10732542	2731442	31605105
SRR3670373_GSM2200667_ES_single_cell_16_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21608158	2118765	17606206	1883187	0	648521	1470244	40471169	1358797	833048	775454	8863864	2380615	26259391
SRR3670374_GSM2200668_ES_single_cell_17_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20413705	3076950	15432740	1904015	0	945721	2131229	61651025	2190858	1402998	1236993	13842885	3585168	39392123
SRR3670374_GSM2200668_ES_single_cell_17_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20285496	2666235	15702689	1916572	0	796294	1869941	52371713	1850570	1210734	1054062	11680467	3157224	33418656
SRR3670375_GSM2200669_ES_single_cell_18_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21164710	4601082	14198669	2364959	0	1494531	3106551	89186412	3063385	2080577	1921429	19987586	5561331	56572104
SRR3670375_GSM2200669_ES_single_cell_18_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20887434	3848474	14677419	2361541	0	1191890	2656584	73312463	2493599	1730889	1571426	16251288	4771836	46493425
SRR3670376_GSM2200670_ES_single_cell_19_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21835330	4335780	15290975	2208574	1	1316245	3019535	86252991	3028223	1864997	1645276	19466398	4850960	55397137
SRR3670376_GSM2200670_ES_single_cell_19_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21575886	3666553	15715766	2193567	0	1044114	2622439	71967678	2499593	1561385	1361785	16060689	4197868	46286358
SRR3670377_GSM2200671_ES_single_cell_20_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	23072114	5191429	15259920	2620765	0	1630625	3560804	100659404	3683792	1964005	2055592	22580658	6119037	64256320
SRR3670377_GSM2200671_ES_single_cell_20_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	22782807	4438776	15726264	2617767	0	1317351	3121425	84472261	3062587	1656072	1714772	18750260	5321237	53967333
SRR3670378_GSM2200672_ES_single_cell_21_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20703316	3467820	14908413	2327082	1	950433	2517387	72510799	2355751	1911487	1509149	16273622	4329774	46131016
SRR3670378_GSM2200672_ES_single_cell_21_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20415113	3014331	15068762	2332020	0	798929	2215402	61407878	1974461	1624504	1270804	13641066	3784455	39112588
SRR3670379_GSM2200673_ES_single_cell_22_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20375300	4170605	13875028	2329667	0	1178346	2992259	86235577	2287060	2889216	1764274	19613748	5094465	54586814
SRR3670379_GSM2200673_ES_single_cell_22_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20101900	3569059	14210699	2322142	0	929951	2639108	72887353	1917507	2429892	1481578	16393305	4458110	46206961
SRR3670380_GSM2200674_ES_single_cell_23_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	24288171	5376112	16159506	2752553	0	1691570	3684542	104257815	3481584	2362772	2017119	23556386	5942173	66897781
SRR3670380_GSM2200674_ES_single_cell_23_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	23970304	4495062	16760546	2714696	0	1308458	3186604	86042116	2847972	1956645	1657088	19238510	5090894	55251007
SRR3670381_GSM2200675_ES_single_cell_24_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	23424239	1837716	20387109	1199414	0	423000	1414716	40742346	1529335	892007	881482	9125669	2616633	25697220
SRR3670381_GSM2200675_ES_single_cell_24_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	23133524	1589069	20334598	1209857	0	336554	1252515	34466046	1273130	752910	736769	7611134	2287698	21804405
SRR3670382_GSM2200676_Sperm_bulk_cells_1_rep1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16469729	7402607	8122315	944807	0	806850	6595757	185447776	6811643	2172750	367153	43134118	1410034	131552078
SRR3670382_GSM2200676_Sperm_bulk_cells_1_rep1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16241839	5659013	9803004	779822	0	591391	5067622	139235093	5021041	1743748	331151	32361064	1325778	98452311
SRR3670383_GSM2200677_Sperm_bulk_cells_1_rep2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16825275	7549997	8321105	954173	0	887399	6662598	187687923	6861430	2007950	380520	43395679	1415527	133626817
SRR3670383_GSM2200677_Sperm_bulk_cells_1_rep2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16586938	5773592	10028804	784542	0	657173	5116419	140935599	5063358	1604049	343134	32601341	1344585	99979132
SRR3670384_GSM2200678_Sperm_bulk_cells_1_rep3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	15916965	7045696	7976077	895192	0	759859	6285837	177446077	6515333	2103953	366721	41199627	1415665	125844778
SRR3670384_GSM2200678_Sperm_bulk_cells_1_rep3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	15668521	5285962	9648326	734233	0	537913	4748049	130728844	4709284	1662380	327082	30328306	1314498	92387294
SRR3670385_GSM2200679_Sperm_bulk_cells_2_rep1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16516822	7152641	8449498	914683	0	819259	6333382	177932754	6530597	1926212	354784	41189460	1345237	126586464
SRR3670385_GSM2200679_Sperm_bulk_cells_2_rep1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16291495	5561910	9964389	765196	0	611578	4950332	136051165	4910209	1557609	326197	31505310	1292777	96459063
SRR3670386_GSM2200680_Sperm_bulk_cells_2_rep2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17571567	7456494	9155775	959298	0	852443	6604051	185099252	6817950	1901059	373653	42784551	1408134	131813905
SRR3670386_GSM2200680_Sperm_bulk_cells_2_rep2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17336788	5833381	10700497	802910	0	636952	5196429	142355257	5163383	1541924	344922	32932977	1355083	101016968
SRR3670387_GSM2200681_Sperm_bulk_cells_2_rep3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19032964	8302390	9671041	1059533	0	1017114	7285276	204693870	7542423	2273420	411277	47434899	1549287	145482564
SRR3670387_GSM2200681_Sperm_bulk_cells_2_rep3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18778040	6476713	11415498	885829	0	766327	5710386	156974576	5685074	1857312	377842	36413556	1484738	111156054
SRR3670388_GSM2200682_Sperm_bulk_cells_3_rep1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18651495	8056170	9572750	1022575	0	906016	7150154	200717605	7408864	2193526	413340	46557421	1570776	142573678
SRR3670388_GSM2200682_Sperm_bulk_cells_3_rep1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18421491	6349218	11213879	858394	0	694538	5654680	155635014	5667394	1799865	382506	36134002	1498764	110152483
SRR3670389_GSM2200683_Sperm_bulk_cells_3_rep2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16650815	7234386	8495307	921122	0	822648	6411738	179957072	6618527	1871246	378953	41608434	1406293	128073619
SRR3670389_GSM2200683_Sperm_bulk_cells_3_rep2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16423941	5624684	10032856	766401	0	617484	5007200	137488000	4973795	1508781	346521	31784833	1334956	97539114
SRR3670390_GSM2200684_Sperm_bulk_cells_3_rep3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16507770	7109986	8493834	903950	0	793267	6316719	177572190	6530832	1919592	365750	41073197	1383306	126299513
SRR3670390_GSM2200684_Sperm_bulk_cells_3_rep3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16286284	5527677	10008134	750473	0	594289	4933388	135703731	4911674	1546463	332527	31393365	1297661	96222041
SRR3670391_GSM2200685_Oocyte_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16120474	3882666	10951443	1286356	9	1951468	1931198	55124223	974976	1910250	919070	11782945	2762482	36774500
SRR3670391_GSM2200685_Oocyte_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	15861002	3166462	11455256	1239268	16	1601079	1565383	43320100	781035	1486408	777183	9136797	2432660	28706017
SRR3670392_GSM2200686_Oocyte_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	9376445	1710187	7031096	635150	12	881989	828198	23382686	446875	778538	451287	4908306	1410803	15386877
SRR3670392_GSM2200686_Oocyte_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	9189684	1360863	7217372	611442	7	689885	670978	18180106	356625	596797	378200	3748861	1249987	11849636
SRR3670393_GSM2200687_Oocyte_single_cell_3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	9008777	1836877	6441146	730751	3	933885	902992	25191024	480270	848373	490866	5316844	1502736	16551935
SRR3670393_GSM2200687_Oocyte_single_cell_3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	8845153	1494151	6655122	695858	22	762293	731858	19717277	385084	656721	407145	4096147	1321217	12850963
SRR3670394_GSM2200688_Oocyte_single_cell_4_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	14340329	1964606	11748858	626860	5	709290	1255316	36796322	670558	1260301	631874	7736392	2569508	23927689
SRR3670394_GSM2200688_Oocyte_single_cell_4_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	14228885	1697407	11862880	668580	18	617317	1080090	30801996	566565	1034433	569657	6342044	2410658	19878639
SRR3670395_GSM2200689_Oocyte_single_cell_5_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16820516	4012163	11836368	971977	8	1821837	2190326	63996936	1133608	2219613	968610	13853601	2918041	42903463
SRR3670395_GSM2200689_Oocyte_single_cell_5_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16681101	3439787	12285578	955707	29	1592984	1846803	52978324	951417	1825941	846632	11363301	2647162	35343871
SRR3670396_GSM2200690_Oocyte_single_cell_6_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	8175400	1229913	6572244	373240	3	443532	786381	22702578	443391	820595	437976	4881983	1344904	14773729
SRR3670396_GSM2200690_Oocyte_single_cell_6_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	8112463	1062405	6673959	376091	8	387719	674686	19124591	377316	680554	383284	4038634	1250489	12394314
SRR3670397_GSM2200691_Oocyte_single_cell_7_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18858653	4350183	13380489	1127966	15	1765507	2584676	74998853	1317242	2723599	1075062	16453436	3187815	50241699
SRR3670397_GSM2200691_Oocyte_single_cell_7_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18702198	3724376	13856637	1121154	31	1534721	2189655	62439931	1108180	2250906	941839	13538370	2908410	41692226
SRR3670398_GSM2200692_Oocyte_single_cell_8_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20280182	3651411	15778882	849872	17	1714210	1937201	56259902	1052089	2134083	874477	12334184	2607848	37257221
SRR3670398_GSM2200692_Oocyte_single_cell_8_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20120855	3193237	16082118	845488	12	1514405	1678832	47913103	903645	1822592	782361	10405721	2421980	31576804
SRR3670399_GSM2200693_Oocyte_single_cell_9_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	14301313	2817132	10868593	615586	2	1148918	1668214	46546619	873814	1750181	788893	10352318	2323952	30457461
SRR3670399_GSM2200693_Oocyte_single_cell_9_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	14177394	2453709	11138169	585503	13	1012056	1441653	39894238	764667	1479406	728710	8748649	2207088	25965718
SRR3670400_GSM2200694_Oocyte_single_cell_10_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17664028	4061958	12604051	997992	27	1760202	2301756	65235129	1196289	2194860	1222458	13954321	3622744	43044457
SRR3670400_GSM2200694_Oocyte_single_cell_10_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17501722	3503809	13034245	963634	34	1536861	1966948	55178155	1026877	1835213	1097304	11635572	3332737	36250452
SRR3670401_GSM2200695_Oocyte_single_cell_11_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19660258	1392854	17790703	476695	6	432139	960715	27815905	520075	1283818	417559	6267037	1293757	18033659
SRR3670401_GSM2200695_Oocyte_single_cell_11_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18370425	2431308	14591156	1347944	17	643994	1787314	32269043	591567	1502206	488704	7199233	1659402	20827931
SRR3670402_GSM2200696_Oocyte_single_cell_12_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18873835	1629270	16783020	461536	9	520589	1108681	32037641	599039	1368683	528915	7136772	1588937	20815295
SRR3670402_GSM2200696_Oocyte_single_cell_12_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17704967	2670946	13785884	1248122	15	733516	1937430	36032351	661618	1546164	600161	7947674	1943658	23333076
SRR3670403_GSM2200697_Oocyte_single_cell_13_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19462046	3261983	14951389	1248666	8	1320855	1941128	56740412	1021215	2169074	994108	12120521	2928218	37507276
SRR3670403_GSM2200697_Oocyte_single_cell_13_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19275730	2815961	15106899	1352849	21	1148244	1667717	48017277	874883	1835371	872635	10183738	2659503	31591147
SRR3670404_GSM2200698_Male-PN_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17922174	2975410	14180925	765839	0	864949	2110461	62333450	1493685	1880327	1004216	13736322	2887617	41331283
SRR3670404_GSM2200698_Male-PN_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17693193	2494184	14383878	815127	4	718009	1776175	51459145	1233906	1552394	863200	11220590	2590189	33998866
SRR3670405_GSM2200699_Male-PN_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18175626	2639065	14788865	747696	0	864128	1774937	51944180	1272744	1510096	899716	11342928	2628593	34290103
SRR3670405_GSM2200699_Male-PN_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17934917	2223899	14919431	791582	5	727021	1496878	42932092	1052409	1248303	776346	9267000	2378950	28209084
SRR3670406_GSM2200700_Male-PN_single_cell_3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18416498	3344358	14382683	689457	0	1405443	1938915	56589914	1094952	1919126	676112	12633828	1965824	38300072
SRR3670406_GSM2200700_Male-PN_single_cell_3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18266062	2827751	14728544	709767	0	1197543	1630208	46652438	903160	1597267	585124	10343708	1780652	31442527
SRR3670407_GSM2200701_Male-PN_single_cell_4_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	22137824	4218367	17028424	891033	0	1203887	3014480	86560177	1874351	3057052	1334337	19358288	3830785	57105364
SRR3670407_GSM2200701_Male-PN_single_cell_4_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21945244	3613933	17418720	912591	0	1025096	2588837	73532721	1599893	2573933	1219256	16218519	3580788	48340332
SRR3670408_GSM2200702_Male-PN_single_cell_5_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18355891	2137856	15476335	741700	0	837178	1300678	38378538	798943	1295688	504251	8456340	1465351	25857965
SRR3670408_GSM2200702_Male-PN_single_cell_5_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18122632	1820923	15489964	811745	0	718067	1102856	32043519	668850	1080300	462790	6957201	1409353	21465025
SRR3670409_GSM2200703_Male-PN_single_cell_6_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20099255	2916400	15959460	1223389	6	999939	1916461	56247109	1107034	1834410	828173	12060424	2468931	37948137
SRR3670409_GSM2200703_Male-PN_single_cell_6_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19891690	2471117	16088348	1332222	3	840162	1630955	47088390	921004	1536217	709791	10012691	2201645	31707042
